Game,Status,CP,UP,ED,CM,MI5,One.Percenters,BO,K,HB,D,M,T,HO,I50,CL,CG,R50,FF,FA,DEFF,CP.1,UP.1,ED.1,CM.1,MI5.1,One.Percenters.1,BO.1,K.1,HB.1,D.1,M.1,T.1,HO.1,I50.1,CL.1,CG.1,R50.1,FF.1,FA.1,DEFF.1
1,Home,151,182,230,17,18,56,6,201,129,330,78,65,41,60,35,53,34,21,27,69.7,153,177,249,21,10,62,23,203,134,337,68,71,37,55,42,43,46,27,21,73.89
2,Home,125,254,289,12,17,40,11,220,160,380,113,53,33,58,32,42,26,17,18,76.05,124,200,233,7,8,46,6,184,147,331,87,46,25,42,31,38,36,18,17,70.39
3,Home,131,237,260,8,6,49,5,202,164,366,101,71,48,37,29,37,43,18,13,71.04,136,265,289,3,11,58,12,227,175,402,99,65,26,57,35,48,30,13,18,71.89
4,Home,106,216,235,5,3,45,1,179,141,320,95,49,38,38,26,42,38,14,17,73.44,141,292,329,10,18,56,4,235,193,428,112,59,36,62,38,40,30,17,14,76.87
5,Home,156,264,303,14,16,37,3,204,214,418,95,73,59,55,39,33,26,23,6,72.49,105,253,266,4,3,38,4,167,192,359,84,81,34,34,33,50,32,6,23,74.09
6,Home,172,266,312,13,16,48,5,219,210,429,81,67,44,76,40,53,37,18,23,72.73,141,190,223,6,5,56,5,184,150,334,69,76,26,45,33,55,52,23,18,66.77
7,Home,131,253,293,13,19,53,18,214,173,387,113,83,67,53,37,43,25,14,13,75.71,141,173,213,16,10,48,4,169,141,310,63,85,21,41,25,41,40,13,14,68.71
8,Home,151,243,294,23,12,52,14,240,154,394,117,83,51,50,33,46,33,20,15,74.62,140,218,250,10,12,35,5,185,168,353,73,87,40,50,38,50,35,15,20,70.82
9,Home,137,233,292,7,16,35,9,227,147,374,107,38,25,53,36,43,28,21,16,78.07,124,274,310,12,13,49,8,202,195,397,109,55,40,50,22,58,34,16,21,78.09
10,Away,130,227,264,5,12,58,10,212,146,358,100,65,30,42,30,48,37,10,15,73.74,133,242,272,11,9,45,19,221,154,375,108,53,28,58,37,39,27,15,10,72.53
11,Away,146,191,241,13,15,39,10,236,102,338,121,67,42,57,37,40,31,23,15,71.3,133,181,223,11,8,45,10,172,144,316,69,83,41,47,38,54,34,17,23,70.57
12,Away,142,202,251,7,11,26,13,201,144,345,78,60,32,55,38,38,37,14,18,72.75,139,233,271,9,14,40,3,209,162,371,102,55,34,58,29,35,37,19,14,73.05
13,Away,173,196,248,8,11,69,5,224,148,372,67,75,43,59,50,40,34,22,13,66.67,167,190,245,13,11,63,3,207,159,366,66,74,37,51,43,53,36,13,22,66.94
14,Away,127,170,211,8,9,38,26,179,123,302,60,73,38,56,39,42,28,18,15,69.87,142,251,309,10,12,40,12,227,174,401,90,62,56,53,41,37,45,15,18,77.06
15,Away,150,194,242,9,17,45,22,200,146,346,73,88,45,50,43,41,38,23,17,69.94,134,213,271,3,10,31,13,164,187,351,53,74,51,55,41,45,27,17,22,77.21
16,Away,163,223,284,7,13,43,5,214,176,390,77,72,21,59,37,49,37,17,16,72.82,155,227,280,9,12,49,11,230,155,385,106,63,51,51,40,57,38,16,17,72.73
17,Away,155,176,227,14,9,56,8,177,157,334,58,82,41,50,38,57,34,15,21,67.96,181,286,346,25,21,39,3,250,211,461,125,70,63,60,46,51,38,21,15,75.05
18,Away,162,269,306,11,18,56,7,257,185,442,99,60,40,67,38,64,37,21,15,69.23,149,210,245,6,5,67,0,211,148,359,72,66,36,51,34,66,38,15,21,68.25
19,Away,148,264,297,12,8,61,4,203,212,415,82,72,47,42,38,67,55,15,18,71.57,140,221,261,7,16,57,12,234,134,368,92,70,28,71,33,47,30,18,15,70.92
20,Away,121,236,258,8,2,35,11,190,174,364,99,58,25,29,32,59,53,14,15,70.88,163,265,304,16,18,44,4,244,179,423,119,66,42,77,33,50,25,15,14,71.87
